latitude,longitude,stations,entries and exits,lateral_vibration
52.194498,0.138230846,Cambridge,10033088,0.125
52.19433687,0.138103093,0,0,0.100
52.19417574,0.13797534,0,0,0.134
52.19401462,0.137847588,0,0,0.178
52.19385349,0.137719835,0,0,0.100
52.19369237,0.137592082,0,0,0.100
52.19353124,0.13746433,0,0,0.183
52.19337012,0.137336577,0,0,0.143
52.19320899,0.137208824,0,0,0.100
52.19304786,0.137081072,0,0,0.133
52.19288674,0.136953319,0,0,0.100
52.19272561,0.136825566,0,0,0.100
52.19256449,0.136697813,0,0,0.120
52.19240336,0.136570061,0,0,0.100
52.19224224,0.136442308,0,0,0.100
52.19208111,0.136314555,0,0,0.100
52.19191999,0.136186803,0,0,0.100
52.19175886,0.13605905,0,0,0.126
52.19159773,0.135931297,0,0,0.100
52.19143661,0.135803544,0,0,0.100
52.19127548,0.135675792,0,0,0.186
52.19111436,0.135548039,0,0,0.102
52.19095323,0.135420286,0,0,0.117
52.19079211,0.135292534,0,0,0.100
52.19063098,0.135164781,0,0,0.100
52.19046985,0.135037028,0,0,0.121
52.19030873,0.134909276,0,0,0.100
52.1901476,0.134781523,0,0,0.136
52.18998648,0.13465377,0,0,0.100
52.18982535,0.134526017,0,0,0.104
52.18966423,0.134398265,0,0,0.100
52.1895031,0.134270512,0,0,0.212
52.18933855,0.134147496,0,0,0.119
52.18916688,0.134034301,0,0,0.100
52.18899521,0.133921106,0,0,0.162
52.18882355,0.13380791,0,0,0.100
52.18865188,0.133694715,0,0,0.133
52.18848022,0.133581519,0,0,0.100
52.18830855,0.133468324,0,0,0.100
52.18813689,0.133355129,0,0,0.134
52.18796522,0.133241933,0,0,0.162
52.18779356,0.133128738,0,0,0.134
52.18762189,0.133015542,0,0,0.120
52.18745023,0.132902347,0,0,0.112
52.18727856,0.132789151,0,0,0.100
52.1871069,0.132675956,0,0,0.100
52.18692682,0.13257746,0,0,0.105
52.1867422,0.132486934,0,0,0.182
52.18655757,0.132396408,0,0,0.147
52.18637294,0.132305882,0,0,0.100
52.18618832,0.132215356,0,0,0.147
52.18600369,0.13212483,0,0,0.112
52.18581906,0.132034304,0,0,0.100
52.18563443,0.131943778,0,0,0.163
52.18544981,0.131853252,0,0,0.185
52.18526518,0.131762726,0,0,0.180
52.18508055,0.1316722,0,0,0.100
52.18488837,0.131600849,0,0,0.120
52.1846916,0.131541141,0,0,0.152
52.18449484,0.131481434,0,0,0.185
52.18429807,0.131421727,0,0,0.113
52.1841013,0.13136202,0,0,0.128
52.18390475,0.131301643,0,0,0.100
52.18370927,0.131237837,0,0,0.100
52.18351379,0.131174031,0,0,0.180
52.18331832,0.131110226,0,0,0.208
52.18312284,0.13104642,0,0,0.137
52.18292601,0.130989037,0,0,0.191
52.18272144,0.130968186,0,0,0.160
52.18251687,0.130947334,0,0,0.110
52.18231231,0.130926483,0,0,0.161
52.18210774,0.130905631,0,0,0.220
52.18190317,0.13088478,0,0,0.142
52.18169861,0.130863928,0,0,0.223
52.18149404,0.130843077,0,0,0.100
52.18128947,0.130822225,0,0,0.187
52.18108491,0.130801374,0,0,0.150
52.18088034,0.130780523,0,0,0.132
52.18067577,0.130759671,0,0,0.152
52.18047121,0.13073882,0,0,0.100
52.18026664,0.130717968,0,0,0.137
52.18006207,0.130697117,0,0,0.167
52.17985751,0.130676265,0,0,0.223
52.17965294,0.130655414,0,0,0.124
52.17944746,0.130652517,0,0,0.110
52.17924184,0.130652517,0,0,0.126
52.17903621,0.130652517,0,0,0.197
52.17883058,0.130652517,0,0,0.168
52.17862496,0.130652517,0,0,0.126
52.17841933,0.130652517,0,0,0.179
52.17821518,0.130674926,0,0,0.158
52.17801133,0.130701919,0,0,0.203
52.17780749,0.130728912,0,0,0.120
52.17760364,0.130755905,0,0,0.139
52.17739979,0.130782898,0,0,0.136
52.17719595,0.13080989,0,0,0.100
52.1769921,0.130836883,0,0,0.172
52.17678825,0.130863876,0,0,0.170
52.17658441,0.130890869,0,0,0.158
52.17638056,0.130917862,0,0,0.147
